,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
864,lock-up,few,small,1994,22.0,31.0,1.6072,-0.056978266076710735,-0.07531252550014318
865,auto,medium,midsize,2008,18.0,24.0,3.0,0.026528258183804082,-0.025214407789293156
866,auto,medium,midsize,2006,14.0,19.0,5.3,0.02744884585649831,-0.019233925971170428
867,manual,medium,small,1985,9.0,15.0,2.9356,0.02376007734959866,-0.017530404158659373
868,auto,medium,large,1987,9.0,11.0,5.904,0.023767868597756456,-0.01748860115487259
869,auto,medium,large,2003,14.0,19.0,4.3,0.026898418909607133,-0.019352637357201975
870,auto,medium,large,2003,18.0,25.0,3.0,0.02921911055413558,-0.022288720913307532
871,manual,few,small,1991,22.0,29.0,1.5908,-0.06065215190931757,-0.07899450033260294
872,lock-up,few,large,1989,18.0,26.0,2.4764,0.03432925218792801,-0.022236050730896493
873,manual,few,midsize,1987,24.0,35.0,1.8532,-0.052524377739172456,-0.06211424645754038
874,auto,medium,midsize,1998,17.0,20.0,3.0,0.028249665367418714,-0.020638767178626952
875,auto,medium,large,2001,16.0,23.0,4.6,0.04071640980145137,-0.026518483571564513
876,lock-up,few,small,1994,23.0,32.0,1.476,-0.06163665849623799,-0.07706788070941542
877,manual,medium,small,1996,17.0,22.0,3.0012,0.026159322747276052,-0.018720503256082235
878,manual,few,small,1990,22.0,29.0,1.5908,-0.06354788867481934,-0.08085569381678784
879,auto,few,midsize,2002,23.0,29.0,2.0,0.02402179697203948,-0.02782926372153458
880,auto,few,small,1988,21.0,26.0,1.7876,0.021468039788404027,-0.026018905615142026
881,auto,medium,small,2005,13.0,20.0,5.4,0.026944077237407535,-0.019024867745747
882,auto,medium,small,2007,17.0,23.0,3.5,0.026547425336157504,-0.024284926547180584
883,auto,medium,large,1989,15.0,16.0,4.2968,0.023755856841350592,-0.017553049009105492
884,manual,few,small,1989,15.0,25.0,2.1812,0.03612924322506388,-0.02316526208282299
885,auto,medium,small,2000,17.0,26.0,2.5,0.027745296874024723,-0.019400723700065972
886,auto,many,midsize,2007,10.0,17.0,6.0,0.02617296913504217,-0.018577850937543973
887,auto,medium,large,2008,13.0,20.0,4.6,0.02780047273254499,-0.01987297517236261
888,auto,few,small,2005,28.0,39.0,1.9,-0.06848109308260478,-0.07704864467068362
889,lock-up,few,small,1986,21.0,24.0,1.6072,0.010701988959455745,-0.03247403847280493
890,auto,medium,large,2008,11.0,17.0,3.3,0.024634787414277853,-0.018229259661176986
891,manual,few,small,1986,37.0,45.0,1.0004,-0.06078392562520735,-0.012936428395445097
892,auto,medium,small,1999,16.0,22.0,5.7,0.034245039590135036,-0.02329125297583593
893,auto,medium,large,2007,11.0,15.0,5.3,0.025307043304365354,-0.018250391584813702
894,lock-up,few,midsize,1993,18.0,25.0,2.214,0.03221395591568065,-0.020542215219987173
895,auto,medium,small,2005,15.0,21.0,3.6,0.027564788458005394,-0.0220178109382978
896,auto,medium,midsize,2003,14.0,17.0,3.5,0.027058789100912056,-0.019207468309600816
897,auto,few,small,1985,19.0,24.0,1.722,0.027076114766307426,-0.018248639170665673
898,manual,medium,large,1987,14.0,17.0,4.92,0.02379459574243438,-0.017345195001055077
899,manual,medium,large,1992,13.0,17.0,3.9196,0.023965900504201783,-0.016426064127277873
900,manual,medium,large,1994,11.0,16.0,5.74,0.02377891117795048,-0.01742935483963361
901,manual,few,small,1985,23.0,30.0,1.968,-0.05612567108061832,-0.07742444313819985
902,auto,medium,large,2007,14.0,19.0,4.3,0.027636937116293694,-0.019709264840861527
903,lock-up,medium,large,1995,15.0,20.0,4.2968,0.02623777949338003,-0.0188444256539375
904,auto,medium,small,2002,14.0,20.0,4.4,0.0283706002406376,-0.020796793885648094
905,manual,few,small,1997,26.0,31.0,1.5908,-0.026773979500255805,-0.055330014868692656
906,manual,medium,small,1985,16.0,21.0,2.8372,-0.0023657720084820383,-0.0035701904503974043
907,manual,medium,large,1993,14.0,17.0,3.1324,0.023981913594744393,-0.016340145874292382
908,lock-up,few,small,1990,21.0,27.0,2.0008,0.022559768291336886,-0.02516947947563744
909,auto,few,midsize,1992,17.0,20.0,2.3124,0.02762809360370932,-0.017965811589295555
910,lock-up,few,small,1989,23.0,29.0,1.476,-0.07076019967778231,-0.08548362225829416
911,manual,medium,small,1991,16.0,22.0,2.9848,0.022803747702708557,-0.016185508512604755
912,manual,few,small,1987,23.0,27.0,1.968,-0.038057250253747565,-0.06431974926313311
913,auto,medium,large,2003,16.0,25.0,3.5,0.03035483595900445,-0.02245186389778262
914,auto,medium,midsize,2003,13.0,17.0,5.3,0.02691064437715962,-0.020228567874729125
915,auto,medium,small,2004,15.0,20.0,5.0,0.02735180978099337,-0.0206397409805777
916,manual,medium,small,1992,16.0,22.0,2.9684,0.025609046434989555,-0.018253146374687376
917,lock-up,medium,large,1990,15.0,19.0,3.9688,0.0128056573108915,-0.012269241732294857
918,lock-up,few,small,1989,19.0,26.0,2.0008,0.0348208318943302,-0.021879783466540383
919,manual,medium,midsize,2002,17.0,24.0,2.7,0.030950243953188555,-0.0239752597194498
920,auto,few,midsize,2008,27.0,34.0,1.5,-0.021089406313484653,-0.05078352601980424
921,lock-up,medium,midsize,1985,15.0,22.0,4.9528,0.033188354956179604,-0.020820518836000425
922,auto,medium,midsize,2008,16.0,22.0,3.6,0.026899912890151013,-0.022755044504860406
923,manual,few,small,1994,39.0,50.0,1.4924,-0.019748722399674443,-0.04241263941819718
924,lock-up,few,midsize,1997,19.0,29.0,1.7876,-0.02007530068612015,-0.05478884608070492
925,auto,medium,large,2008,11.0,15.0,5.4,0.025500928035576038,-0.017853943725183084
926,manual,few,small,1992,19.0,25.0,2.3944,0.0344630965193696,-0.021652355039868648
927,manual,few,large,2005,18.0,24.0,2.8,0.02877992558913233,-0.02542771007736037
928,manual,few,small,1995,19.0,29.0,2.2632,-0.036503010080123674,-0.0636072913047886
929,manual,medium,large,1998,15.0,19.0,4.0,0.027513293716510605,-0.01898609101797115
930,auto,medium,large,2006,16.0,20.0,4.0,0.028132440992135292,-0.020518186007964814
931,auto,medium,midsize,1998,17.0,27.0,3.8,0.02720917567895664,-0.0191006932433994
932,auto,medium,midsize,2006,13.0,17.0,5.7,0.02604374028587066,-0.019306057135865806
933,lock-up,few,midsize,1986,17.0,20.0,2.1484,0.007710292289056711,-0.009502246902744978
934,auto,few,midsize,1999,19.0,24.0,2.0,0.029876841615597345,-0.021124312367887758
935,auto,few,small,1986,26.0,31.0,1.476,-0.06166050834712117,-0.054826306179934635
936,manual,medium,midsize,2006,18.0,27.0,3.0,0.027066146306590926,-0.024918128900030645
937,auto,medium,midsize,2001,15.0,20.0,3.5,0.028518289966377973,-0.021230787444882895
938,manual,few,large,2005,21.0,26.0,2.3,0.026839271467355475,-0.02632604575512147
