,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
28,72,Female,5,2500,West,6,2,No,2,-752.7599464021482,31.24213798780606
29,28,Male,3,1500,East,10,5,No,1,246.99775791887797,-6.801136550839556
30,44,Male,5,3300,West,8,3,No,6,-1546.8242640274987,136.2204963131582
31,30,Male,4,650,West,8,4,No,9,1094.782814909838,-81.66837369930683
32,79,Female,2,420,West,9,2,No,6,1322.5323562539895,-115.4273156125216
33,46,Female,5,1500,West,9,4,No,5,245.2382341433882,-40.53920012994829
34,55,Female,3,1500,East,9,5,No,1,245.68349582331248,-32.98544449788989
35,56,Female,2,1400,West,5,4,No,3,345.88552877148265,-33.31505025100817
36,43,Male,4,3500,West,8,3,Yes,3,-1745.7249646258808,157.855937143618
37,44,Female,3,2900,West,8,2,No,6,-1147.4349331524945,110.13303086163612
38,50,Male,2,1700,West,7,4,No,3,45.787007539690286,-23.779396843265065
39,38,Male,5,1400,East,9,4,No,3,344.6985606119726,-54.82580637631434
40,61,Female,2,900,West,8,2,Yes,3,845.6643343554675,-51.20011588666598
41,47,Female,4,1200,West,8,1,No,2,545.16712914291,-52.11518052949496
42,74,Female,3,813,West,10,5,No,6,931.8310913969738,-66.62190693351856
43,55,Female,5,3500,East,8,3,No,1,-1746.5795656800415,147.89297228120697
44,24,Male,3,1313,West,7,4,No,4,431.11437056252413,-68.930285367321
45,55,Female,3,1800,West,9,4,No,2,-53.824639370718195,-14.304415794924989
46,26,Female,3,1100,East,8,5,No,6,644.1012086746694,-75.83198245088151
47,63,Female,5,1875,East,7,2,Yes,1,-129.03925858865398,-15.510188372806805
48,59,Male,3,1100,East,7,3,No,1,645.6195641653613,-45.88729048873026
49,31,Male,4,1600,West,9,5,No,1,146.8259975257121,-9.057589459374327
50,20,Female,5,400,West,9,5,No,5,1344.7925580310014,-93.37663188633108
51,32,Female,5,2700,West,8,4,No,6,-948.2283756487973,93.14938496610104
52,45,Female,5,2000,East,10,5,No,6,-252.8665812001342,7.562414001329997
53,55,Male,3,2400,West,6,4,Yes,1,-652.4275546569826,29.411808900515418
54,63,Male,3,800,East,7,3,Yes,5,945.3220280449042,-59.773587056529564
55,71,Female,5,1050,East,8,3,No,3,695.8127626346849,-46.944488121163346
56,55,Male,3,1875,West,7,4,No,6,-128.5029259663391,-6.892467648550551
57,22,Male,2,2000,West,8,5,No,6,-251.5729344634501,27.841080910122727
58,24,Female,5,476,East,5,4,No,2,1268.5856488695931,-90.99292708281769
59,48,Female,5,3500,West,7,4,Yes,6,-1746.0718282111936,153.77342293732931
60,53,Male,4,3500,West,9,4,No,6,-1746.0068478426579,154.46511438743124
61,82,Female,5,1600,East,8,3,No,1,144.19209927032878,-55.54705424420689
62,32,Female,5,3400,West,10,4,Yes,6,-1645.0856132741455,160.63598510327395
63,37,Male,4,1200,East,9,4,Yes,6,544.7023847104095,-60.97366341077991
64,78,Male,2,1600,West,10,4,No,5,144.4360576696857,-51.37929635744473
65,64,Male,5,2500,West,5,2,No,3,-751.4892637754847,46.87668088485211
66,20,Female,3,380,West,8,4,No,6,1364.8962653274245,-92.12847370384908
67,48,Male,5,3500,East,8,4,No,3,-1745.9239990988697,155.4447909082613
68,42,Female,5,1900,West,7,4,No,3,-153.99914463004868,-11.661658711443971
69,76,Female,2,1500,East,9,3,No,1,246.6480017874002,-16.488108927460946
70,38,Male,4,2500,West,10,3,No,5,-751.5492724841455,45.74056348391307
71,80,Female,2,200,West,8,3,No,3,1545.8687264097223,-79.30457098519317
72,42,Female,3,404,East,5,2,No,11,1341.4925188645464,-71.9782575761534
73,18,Male,5,800,West,8,4,Yes,6,944.2180700818761,-92.5900028129873
74,62,Female,3,1300,East,8,5,No,6,446.00789464899304,-33.48269594814383
75,62,Female,3,688,West,8,4,No,3,1058.0629737590823,-48.06634277427132
76,81,Male,2,1313,East,6,2,No,9,433.7311466405086,-18.428430787559257
77,42,Female,5,2400,West,8,2,No,3,-651.2370093196433,44.64092842070501
78,57,Male,5,950,West,5,2,No,1,795.628900032287,-51.725039044088675
79,76,Male,2,900,East,8,2,No,9,845.5078544405526,-54.49007334232131
80,48,Female,5,2000,West,8,4,Yes,2,-253.06779240429054,4.473349532412177
81,53,Male,2,680,East,5,2,No,9,1065.750767346999,-57.05431602525292
82,77,Male,4,3300,West,8,3,No,6,-1546.5229611274356,141.16900475496905
83,67,Female,3,500,West,10,4,Yes,5,1245.9046268338432,-55.76073966762137
84,37,Female,5,1200,East,7,5,Yes,6,544.6975120210212,-61.072263912335295
85,33,Male,3,1220,East,6,3,No,4,524.5257093092305,-62.341187789437846
86,64,Male,5,3500,East,9,4,No,3,-1746.9876142565206,143.41531803224657
87,64,Male,4,688,East,8,5,No,6,1058.151325762162,-45.87034446045329
88,57,Male,5,3000,West,6,3,No,2,-1248.348792875401,105.19716920689856
89,51,Male,3,1500,East,5,3,No,3,245.47886976016727,-36.52708629818977
90,40,Female,4,2050,West,9,4,No,6,-302.81779679734905,10.992271756398793
91,67,Male,5,1800,West,6,4,No,6,-54.60480820190443,-26.68345685552421
92,30,Female,5,875,West,8,5,Yes,2,869.3778957382165,-81.8517097573299
93,57,Male,3,1300,East,9,4,No,1,445.7560304658575,-38.31402060979735
94,59,Male,5,3750,West,9,4,No,6,-1992.4100826564252,205.0279238607161
95,47,Female,3,1188,East,5,3,No,3,557.2281214579627,-52.298357253518624
