,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
900,62,Male,5,4005,West,9,4,Yes,2,-0.8718882236610239,559.5878720268838
901,52,Male,3,2000,East,8,3,No,5,-7.847029742104184,15.392551209953934
902,75,Male,3,970,East,6,3,No,1,-7.860999144745811,15.42798669220927
903,35,Male,2,2000,West,7,3,No,6,-7.847442004180882,15.393594318411903
904,51,Male,5,4000,West,7,2,Yes,5,-0.9642578709871862,552.0058270881271
905,80,Male,2,900,West,10,4,No,6,-7.859720039539339,15.424736647737014
906,65,Female,2,2200,West,7,3,No,9,-7.837496810123423,15.368379765547582
907,34,Male,3,1875,West,8,3,No,3,-7.733190257386701,15.104028377134345
908,26,Female,4,400,West,8,3,No,9,-7.689076334829775,15.000477207670668
909,61,Male,3,7500,West,8,4,No,5,-714.0638846342247,16.744706343780376
910,54,Male,3,2875,West,10,5,No,9,-9.202530857098058,-605.6256231775446
911,43,Male,3,2375,West,8,4,No,6,-7.860863012147426,15.427640580653321
912,53,Female,5,2800,East,10,5,No,6,-9.163861820456964,-659.1497634825132
913,64,Male,5,755,West,10,4,Yes,1,-7.614374929999173,14.810248292497844
914,18,Male,3,480,West,9,5,No,6,-7.477574434342433,14.472966502293644
915,49,Male,3,1700,West,8,3,No,9,-7.782170021646734,15.228201032478161
916,63,Female,3,2875,West,9,5,No,6,-9.192466531603088,-610.9865370369499
917,66,Female,3,688,West,9,5,No,2,-7.702549278125143,15.031441344616209
918,65,Female,2,901,West,8,3,No,6,-7.860949730819351,15.427861527724493
919,40,Male,4,1800,West,8,4,No,5,-7.8316940530204935,15.353782749521132
920,53,Male,2,2400,West,8,4,No,3,-7.861902978227959,15.430283622402735
921,27,Male,4,2000,East,8,3,No,1,-7.84526394811281,15.388063609504862
922,52,Male,5,3000,West,9,4,Yes,3,-9.101344024556166,-480.6508093475513
923,69,Male,2,970,West,6,3,No,3,-7.8611179669908156,15.428288658298536
924,55,Female,3,1313,East,8,3,No,3,-7.822903043665097,15.331391316418026
925,56,Female,3,600,West,9,4,Yes,2,-7.562236876971542,14.67823778801554
926,39,Male,3,2000,West,10,5,Yes,6,-7.848925465794715,15.39735981111695
927,73,Female,2,110,West,6,3,No,2,-7.232223778333538,13.8469082527632
928,58,Female,3,700,East,7,4,No,1,-7.716302877453299,15.066008223171103
929,19,Female,4,700,West,8,4,Yes,2,-7.7095930342640955,15.049401886622034
930,21,Male,5,300,West,8,5,Yes,2,-7.377539117767325,14.213752501860556
931,56,Female,4,2600,West,8,3,No,3,-8.668436898569748,-823.1971143674588
932,26,Male,4,2100,West,3,5,No,9,-7.8068414526603105,15.290439392330304
933,28,Female,5,600,West,7,4,No,3,-7.463503135069473,14.430092119955455
934,75,Female,2,1200,East,5,3,No,6,-7.854824784937411,15.412304497908677
935,78,Male,5,1430,East,10,3,No,3,-7.7655757177556515,15.185935765067907
936,35,Female,3,1100,East,7,4,No,1,-7.860804346889811,15.427491482107405
937,68,Male,3,800,East,7,4,No,3,-7.497560909378825,14.516706045118077
938,58,Male,5,4200,West,9,3,No,6,2.0935122164281963,783.6920921074079
939,34,Male,3,2900,West,10,5,Yes,5,-9.209007058332658,-575.6535363775693
940,66,Male,3,1590,East,7,3,No,9,-7.7613581475271705,15.175554420563376
941,31,Male,3,2500,East,10,5,Yes,6,-7.861824501272291,15.430083824974442
942,51,Male,3,2300,East,9,4,No,9,-7.815196244411051,15.311786445960454
943,51,Male,3,1438,East,8,4,No,3,-7.795499470614283,15.261850610684174
