,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
32,auto,medium,midsize,2007,11.0,15.0,5.3,14.273274924663568,-4.637660961124315
33,auto,few,midsize,2001,17.0,24.0,2.3,3.8717171405374526,2.620124172936785
34,auto,medium,midsize,2004,18.0,25.0,2.5,5.936053005320849,5.184526858404239
35,lock-up,medium,midsize,1985,16.0,23.0,3.7884,-9.746364053011641,-6.138384464543877
36,manual,few,small,2001,21.0,26.0,1.8,1.9207454079488644,6.352059912373363
37,lock-up,medium,large,1995,13.0,17.0,6.478,2.5019674939465903,-7.954100597854109
38,manual,medium,small,2005,17.0,25.0,2.5,7.131009808400719,5.1591455080311945
39,auto,few,midsize,1998,18.0,27.0,2.4,-0.153073472773216,3.9874397001518465
40,lock-up,few,midsize,1988,23.0,26.0,1.6072,-10.529292866658857,1.4434385654204722
41,auto,medium,small,2006,18.0,25.0,3.0,7.7595893104605125,6.02247941210559
42,manual,medium,midsize,2004,14.0,19.0,4.3,9.277220604412184,-1.4436332700725663
43,manual,medium,small,1990,14.0,20.0,2.9684,-3.6644640030487423,-6.900953418420623
44,auto,medium,large,1985,16.0,17.0,4.2968,-7.684846874396641,-10.70447134536492
45,lock-up,medium,large,1992,11.0,15.0,5.2152,0.9277904209717783,-11.432029515484647
46,auto,medium,midsize,1999,18.0,26.0,3.1,1.1455693131891815,3.5736784192365807
47,auto,few,small,2003,23.0,30.0,2.0,1.8082750708086828,11.002949398724404
48,lock-up,few,small,1986,23.0,30.0,1.5908,-13.378974626304494,3.320039239889428
49,manual,few,midsize,1990,21.0,26.0,2.0008,-7.884666650262945,1.219067076217885
50,auto,medium,large,2003,13.0,17.0,5.3,9.46533147887874,-4.019336907585811
51,manual,few,large,2006,19.0,23.0,2.5,8.303170289771105,5.228919110520389
52,manual,medium,large,1986,18.0,23.0,4.92,-9.415289235215509,-4.87925687318783
53,auto,medium,small,2003,18.0,26.0,2.7,4.71672499002844,5.447429920141353
54,auto,medium,large,2008,16.0,23.0,3.5,10.853122463179801,4.417363066675287
55,manual,few,small,2005,23.0,33.0,2.2,2.607872109061631,14.032423869515775
56,lock-up,medium,large,1995,15.0,20.0,4.2968,0.6386338319750862,-4.291960129841863
57,auto,medium,large,1986,13.0,14.0,3.69,-4.873072517206033,-13.772597104473995
58,lock-up,few,small,1991,21.0,29.0,2.1976,-7.9207088903347715,3.7776179905698326
59,lock-up,medium,small,1997,18.0,26.0,3.0012,-0.6309366762658739,2.674349447053442
60,manual,few,small,1987,22.0,29.0,1.6072,-11.850686835187615,2.558064126198555
61,manual,few,small,1989,18.0,26.0,2.4928,-7.819589189162422,-0.8648515273287278
62,auto,few,small,2005,26.0,35.0,1.8,1.0059639263970146,17.033112066764282
63,lock-up,medium,midsize,1986,15.0,23.0,5.002,-8.613590455965177,-6.520169537539262
64,auto,few,small,2007,18.0,24.0,2.4,9.001598067944727,5.85336044709327
65,auto,few,midsize,2005,18.0,26.0,2.0,6.452208658257296,6.477900250441251
66,manual,medium,large,2005,14.0,19.0,4.2,10.15836456776666,-0.976254685998057
67,manual,few,small,1994,23.0,31.0,1.5908,-6.555829218927155,7.66553772222689
68,lock-up,medium,large,1996,11.0,16.0,5.74,4.204695933802152,-9.01821528582427
69,lock-up,few,small,1996,21.0,29.0,1.9024,-3.4942723281225496,6.065268180482654
70,manual,few,small,1993,24.0,35.0,1.6072,-9.120857081714929,10.714161473463982
71,manual,medium,small,2001,18.0,26.0,2.5,2.898810953172381,4.589893126880657
72,manual,medium,large,1992,11.0,16.0,5.74,0.6703561503602675,-10.850089799908066
73,manual,few,small,1985,32.0,38.0,1.3448,-19.77843593479147,13.356275638128853
74,auto,medium,small,2002,15.0,22.0,4.0,6.158904527365416,0.3935874586594547
75,auto,medium,large,2004,15.0,19.0,4.8,9.082971950324144,-1.0805079367508437
76,auto,medium,large,2008,15.0,23.0,5.7,11.628381065829556,3.6972582788735324
77,lock-up,few,large,1997,18.0,23.0,2.296,0.3370396173774242,0.5792046619343214
78,manual,few,midsize,2003,19.0,27.0,2.3,4.0505133117660685,6.721682939723096
79,lock-up,medium,midsize,1996,18.0,26.0,3.1324,-1.5027020459029552,2.202230619691142
80,lock-up,medium,midsize,1993,15.0,24.0,3.3456,-2.6458065362854155,-2.1512244979675907
81,lock-up,medium,large,1994,15.0,20.0,4.2968,-0.24633733594976362,-4.747409154229633
