,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
143,39,Male,3,1438,East,9,4,No,9,-4.6096577644348145,-48.95981216430664
144,81,Male,2,1438,West,8,4,No,9,-3.772359609603882,-48.03057861328125
145,79,Male,2,1500,East,8,3,No,3,48.157405853271484,4.435987949371338
146,57,Male,3,2300,West,9,4,Yes,3,22.08060646057129,30.408315658569336
147,21,Female,5,800,West,8,5,No,6,3.9956133365631104,4.277571678161621
148,47,Male,4,2500,West,7,4,No,9,21.754261016845703,21.202699661254883
149,51,Male,2,1700,West,10,3,No,3,2.2893404960632324,-27.619089126586914
150,58,Male,4,150,West,10,5,No,6,30.51482582092285,-19.916061401367188
151,79,Male,5,1600,West,10,3,Yes,6,5.403903961181641,-32.96910095214844
152,55,Female,5,1800,East,7,3,No,6,-2.771937847137451,-20.8374080657959
153,45,Female,5,1500,West,10,4,No,5,46.65660858154297,0.8311904072761536
154,51,Male,5,2100,West,7,2,Yes,2,17.91732406616211,37.07057571411133
155,48,Female,3,1500,East,4,3,No,9,46.34956359863281,1.4535006284713745
156,26,Male,5,650,West,6,4,No,6,13.456058502197266,-3.542104482650757
157,53,Male,2,2500,West,8,3,No,9,21.772058486938477,20.866470336914062
158,72,Male,3,900,East,3,3,No,1,-0.9377027153968811,12.700529098510742
159,29,Male,5,2400,East,8,4,Yes,3,22.435649871826172,25.952516555786133
160,31,Male,3,1800,East,8,4,No,5,-2.2824196815490723,-21.810649871826172
161,65,Male,1,1050,East,5,3,No,1,-2.5491130352020264,43.27670669555664
162,54,Female,4,1000,East,8,4,No,1,-4.178035259246826,20.195566177368164
163,47,Female,2,1500,West,9,4,No,3,46.914955139160156,1.0325052738189697
164,49,Female,3,1600,West,10,5,No,3,7.444933891296387,-32.695560455322266
165,28,Female,5,2100,West,9,5,No,2,17.39630699157715,36.48855209350586
166,31,Male,5,2400,East,8,4,Yes,4,22.43570327758789,26.011308670043945
167,51,Female,3,450,West,6,3,No,6,23.22563934326172,-12.272909164428711
168,61,Male,2,830,West,7,1,No,3,3.052894353866577,7.573500156402588
169,19,Male,5,450,West,8,4,No,5,24.474510192871094,-11.143351554870605
170,35,Female,3,1800,West,5,2,No,3,-2.582939386367798,-21.850526809692383
171,44,Male,5,6250,East,9,4,No,2,-46.046016693115234,-3.439270496368408
172,39,Male,3,2100,West,9,5,Yes,3,17.64132308959961,36.808650970458984
173,31,Male,3,1250,East,8,3,No,4,-17.292387008666992,-40.53830337524414
174,61,Female,2,3000,West,10,4,Yes,3,-23.683656692504883,4.704882621765137
175,76,Male,2,2300,West,9,3,No,6,22.32674217224121,30.356525421142578
176,56,Male,4,600,West,5,3,No,1,16.7929744720459,-4.9285807609558105
177,21,Male,2,1200,West,4,4,No,2,-18.856754302978516,-37.08176040649414
178,52,Male,5,7500,West,8,4,No,6,-47.16770553588867,-3.9494245052337646
179,60,Female,3,1500,East,9,4,No,3,47.585147857666016,2.6872596740722656
180,32,Female,3,900,West,10,5,Yes,6,0.4242902994155884,13.37902545928955
181,22,Female,5,750,West,9,4,No,1,7.2817583084106445,2.1214253902435303
182,76,Male,2,2800,West,6,1,No,2,-19.330821990966797,6.626173973083496
183,45,Male,5,1200,West,4,3,No,3,-20.714385986328125,-37.46140670776367
184,64,Female,2,350,West,9,3,No,6,28.03529930114746,-17.078529357910156
185,45,Male,5,8750,West,9,5,Yes,6,-47.77696228027344,-4.230680465698242
186,54,Male,3,3500,West,8,4,No,6,-33.759822845458984,2.2990145683288574
187,55,Female,3,1500,East,5,3,No,9,46.777427673339844,2.3198299407958984
188,48,Female,5,2100,West,9,4,No,1,17.852066040039062,37.018978118896484
189,53,Male,5,3500,East,8,4,Yes,1,-33.0236930847168,2.057924270629883
190,71,Male,2,2125,West,8,3,No,5,18.965328216552734,36.885772705078125
191,40,Male,2,4000,West,8,4,No,6,-39.58794403076172,-0.22589293122291565
192,35,Male,2,650,East,8,4,No,9,13.678251266479492,-3.38596510887146
193,56,Male,3,1600,East,7,3,No,6,6.892686367034912,-32.847408294677734
194,80,Female,2,900,East,5,2,No,1,-1.201475977897644,12.573099136352539
195,65,Female,3,850,East,9,4,No,3,1.4926793575286865,9.759075164794922
196,49,Female,3,813,East,8,3,No,11,3.539717674255371,5.929783821105957
197,57,Female,2,1200,West,8,4,No,6,-22.48781967163086,-37.58575439453125
198,64,Male,2,1600,West,7,3,No,6,6.2963457107543945,-32.9189567565918
199,31,Female,5,1300,West,8,5,Yes,3,-13.50830364227295,-43.30708312988281
200,37,Male,3,1600,East,7,4,No,9,8.34775161743164,-32.72349548339844
201,34,Female,3,1063,West,5,3,No,3,-3.213646411895752,45.28394317626953
202,70,Female,4,813,West,9,2,No,6,4.204617500305176,7.123091697692871
203,81,Female,3,1833,West,8,2,No,3,-4.52056884765625,-19.531856536865234
204,34,Female,3,1900,West,8,4,No,2,-9.448144912719727,-16.254051208496094
205,41,Female,3,1188,East,6,4,No,2,-20.453731536865234,-36.300628662109375
206,64,Female,3,1100,West,10,4,No,2,0.23212407529354095,46.177703857421875
207,29,Male,5,1500,West,5,4,Yes,3,45.6979866027832,-0.430404394865036
208,84,Male,2,1800,East,10,4,No,3,-3.9113597869873047,-20.161813735961914
209,30,Male,3,1600,West,10,5,No,2,8.74743938446045,-32.083168029785156
210,60,Male,3,320,East,6,3,No,3,28.651958465576172,-17.632734298706055
