,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
10620,manual,few,small,1995,24.0,31.0,1.7712,-0.19060660469329074,-0.45817349914737154
8967,lock-up,medium,large,1993,16.0,24.0,4.6084,-0.2251840639864845,0.09093651132815876
19786,auto,medium,large,2005,15.0,21.0,3.5,0.5631742756674101,0.10364166172591012
13221,auto,few,midsize,1998,18.0,22.0,1.8,0.06923745842284766,-0.015281192909961808
5167,lock-up,medium,midsize,1989,15.0,22.0,5.0348,-0.35171151244671656,0.31323372422749296
5747,lock-up,few,small,1989,18.0,24.0,2.2632,-0.4769552502902096,0.047902654448521806
14718,manual,few,large,2000,16.0,20.0,2.4,0.24489757549268212,0.1599657533120109
21282,manual,medium,small,2007,15.0,20.0,4.8,0.511730576146722,0.1403846591672358
2985,manual,few,small,1987,19.0,27.0,2.296,-0.46389162871880546,-0.19929963228952208
3035,manual,few,small,1987,18.0,29.0,1.9844,-0.3730304796989975,-0.2025350176496924
2809,manual,few,large,1986,23.0,26.0,2.296,-0.38044585673325476,-0.21761947934453846
1177,auto,medium,large,1985,11.0,13.0,4.92,-0.18250558048103258,0.4170180147586447
14662,manual,medium,large,2000,16.0,21.0,3.0,0.23941922624823092,0.10894867046499691
20407,auto,medium,midsize,2006,18.0,26.0,2.7,0.41549535262555815,-0.3790921201554852
3099,lock-up,medium,large,1987,16.0,23.0,5.0348,-0.38728279108411884,0.24181141738525247
16030,auto,few,small,2002,23.0,29.0,2.0,0.12371584033431929,-0.41628211021492595
10286,lock-up,medium,small,1994,16.0,21.0,2.9684,-0.15257871823372787,0.21480220288908683
12506,lock-up,medium,large,1997,15.0,20.0,4.2968,0.04837411218123196,0.2985562944007869
17756,auto,medium,midsize,2003,14.0,17.0,3.7,0.46491891589720574,0.32438298326718
11917,manual,medium,small,1997,17.0,24.0,2.7716,-0.0053493138790246956,-0.10343456696089307
13652,manual,medium,midsize,1999,18.0,25.0,2.5,0.07081752067970559,-0.22148802690515135
20399,auto,medium,midsize,2006,17.0,24.0,3.9,0.4625783379285365,-0.2585034534388463
13135,auto,medium,large,1998,13.0,17.0,5.7,0.11565260916080232,0.40305402332337276
17499,auto,medium,large,2003,14.0,19.0,4.3,0.5724633406894634,0.3299977645110894
